2018-02-23 15:03:39.264 INFO  ProxyRunner:33 - 启动定时更新代理服务...
2018-02-23 15:07:25.523 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:25.523 INFO  ProxyApi:44 - 获取代理ip: 110.88.247.219
2018-02-23 15:07:25.523 INFO  ProxyApi:45 - 获取代理port: 11661
2018-02-23 15:07:30.556 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:30.669 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:30.670 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:30.670 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:30.670 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:30.670 INFO  ProxyApi:44 - 获取代理ip: 117.86.11.126
2018-02-23 15:07:30.670 INFO  ProxyApi:45 - 获取代理port: 59322
2018-02-23 15:07:35.714 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:35.820 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:35.820 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:35.820 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:35.820 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:35.821 INFO  ProxyApi:44 - 获取代理ip: 182.34.18.0
2018-02-23 15:07:35.821 INFO  ProxyApi:45 - 获取代理port: 63665
2018-02-23 15:07:40.889 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:41.35 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:41.36 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:41.36 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:41.36 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:41.36 INFO  ProxyApi:44 - 获取代理ip: 120.34.32.245
2018-02-23 15:07:41.37 INFO  ProxyApi:45 - 获取代理port: 45335
2018-02-23 15:07:46.83 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:46.179 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:46.179 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:46.179 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:46.179 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:46.180 INFO  ProxyApi:44 - 获取代理ip: 119.176.150.32
2018-02-23 15:07:46.180 INFO  ProxyApi:45 - 获取代理port: 50425
2018-02-23 15:07:51.223 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:51.389 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:51.389 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:51.390 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:51.390 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:51.390 INFO  ProxyApi:44 - 获取代理ip: 171.13.37.224
2018-02-23 15:07:51.390 INFO  ProxyApi:45 - 获取代理port: 20127
2018-02-23 15:07:56.424 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:07:56.579 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:07:56.579 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:07:56.579 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:07:56.579 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:07:56.579 INFO  ProxyApi:44 - 获取代理ip: 180.121.132.138
2018-02-23 15:07:56.579 INFO  ProxyApi:45 - 获取代理port: 52751
2018-02-23 15:08:01.624 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:08:01.782 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:08:01.782 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:08:01.782 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:08:01.782 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:08:01.783 INFO  ProxyApi:44 - 获取代理ip: 117.24.22.237
